ACCOUNT NO,POLE,PHASE,AVG CONSU MPTION PER DAY,PANEL CAPACITY,IMPORT AVG,EXPORT AVG,,PANNEL PASE,AVG SOLAR,,5.5
103975707,EN51/11/8,3,7,0,0,0,,5,155,,
103975905,EN51/11/8,4,16,0,0,0,,5,155,,
,,,,,,,,,,,
105464304,EN51/11/10,4,18,0,0,0,,5,155,,
106411008,EN51/11/10,4,14,0,0,0,,5,155,,
106512901,EN51/11/10,4,34,4,14.05,19.96,,1,155,21,
,,,,,,,,,,,
103974211,EN51/11/10/1,3,8,0,0,0,,5,155,,
105896703,EN51/11/10/1,2,4,0,0,0,,5,155,,
,,,,,,,,,,,
103974310,EN51/11/10/2,1,6,0,0,0,,5,155,,
103974101,EN51/11/10/2,2,6,0,0,0,,5,155,,
103975003,EN51/11/10/2,2,3,0,0,0,,5,155,,
,,,,,,,,,,,
103973903,EN51/11/10/3,3,8,0,0,0,,5,155,,
103974607,EN51/11/10/3,1,3,0,0,0,,5,155,,
103974409,EN51/11/10/3,1,6,0,0,0,,5,155,,
103973804,EN51/11/10/3,2,7,0,0,0,,5,155,,
103974002,EN51/11/10/3,1,5,0,0,0,,5,155,,
,,,,,,,,,,,
106991104,EN51/11/11,2,1,0,0,0,,5,155,,
106875505,EN51/11/11,1,8,0,0,0,,5,155,,
,,,,,,,,,,,
103969701,EN51/11/12,2,3,0,0,0,,5,155,,
103969206,EN51/11/12,1,9,0,0,0,,5,155,,
103973705,EN51/11/12,1,5,0,0,0,,5,155,,
103973001,EN51/11/12,2,6,0,0,0,,5,155,,
103972902,EN51/11/12,3,5,0,0,0,,5,155,,
103969305,EN51/11/12,3,17,0,0,0,,5,155,,
107109904,EN51/11/12,1,3,0,0,0,,5,155,,
103974508,EN51/11/12,3,9,0,0,0,,5,155,,
,,,,,,,,,,,
103974805,EN51/11/12A,4,8,0,0,0,,5,155,,
106490208,EN51/11/12A,1,7,0,0,0,,5,155,,
103972506,EN51/11/12A,4,18,0,0,0,,5,155,,
,,,,,,,,,,,
103969811,EN51/11/12A1,4,19,0,0,0,,5,155,,
103974706,EN51/11/12A1,2,4,0,0,0,,5,155,,
103974904,EN51/11/12A1,1,5,0,0,0,,5,155,,
,,,,,,,,,,,
103970009,EN51/11/12A2,1,17,0,0,0,,5,155,,
106574710,EN51/11/12A2,4,0,0,0,0,,5,155,,
103970108,EN51/11/12A2,1,5,0,0,0,,5,155,,
103969910,EN51/11/12A2,2,14,0,0,0,,5,155,,
103970207,EN51/11/12A2,1,4,0,0,0,,5,155,,
103970306,EN51/11/12A2,1,8,0,0,0,,5,155,,
103970405,EN51/11/12A2,3,5,0,0,0,,5,155,,
,,,,,,,,,,,
106699505,EN51/11/12B,1,11,0,0,0,,5,155,,
103970801,EN51/11/12B,2,9,0,0,0,,5,155,,
105565801,EN51/11/12B,4,12,0,0,0,,5,155,,
,,,,,,,,,,,
103970603,EN51/11/12C,1,5,0,0,0,,5,155,,
103970702,EN51/11/12C,2,6,0,0,0,,5,155,,
103970504,EN51/11/12C,1,9,0,0,0,,5,155,,
,,,,,,,,,,,
103971307,EN51/11/12DA,1,5,0,0,0,,5,155,,
103971208,EN51/11/12DA,1,10,0,0,0,,5,155,,
103971406,EN51/11/12DA,3,4,0,0,0,,5,155,,
106168909,EN51/11/12DA,2,3,0,0,0,,5,155,,
106680706,EN51/11/12DA,4,1,0,0,0,,5,155,,
106569309,EN51/11/12DA,2,4,0,0,0,,5,155,,
,,,,,,,,,,,
107100906,EN51/11/12DC,3,0,0,0,0,,5,155,,
,,,,,,,,,,,
103971109,EN51/11/12E,1,9,0,0,0,,5,155,,
103971010,EN51/11/12E,2,12,0,0,0,,5,155,,
,,,,,,,,,,,
103972209,EN51/11/12F,3,7,0,0,0,,5,155,,
,,,,,,,,,,,
103972110,EN51/11/12G,1,1,0,0,0,,5,155,,
,,,,,,,,,,,
103972308,EN51/11/12H,3,1,0,0,0,,5,155,,
,,,,,,,,,,,
103972803,EN51/11/12J,1,7,0,0,0,,5,155,,
103972605,EN51/11/12J,3,11,0,0,0,,5,155,,
,,,,,,,,,,,
103972704,EN51/11/12K,2,5,0,0,0,,5,155,,
103971901,EN51/11/12K,3,5,0,0,0,,5,155,,
106010102,EN51/11/12K,1,15,0,0,0,,5,155,,
,,,,,,,,,,,
103971604,EN51/11/12L,3,9,0,0,0,,5,155,,
103971505,EN51/11/12L,2,8,0,0,0,,5,155,,
103972011,EN51/11/12L,3,9,0,0,0,,5,155,,
103971802,EN51/11/12L,2,6,0,0,0,,5,155,,
106915809,EN51/11/12L,1,7,0,0,0,,5,155,,
103971703,EN51/11/12L,3,4,0,0,0,,5,155,,
,,,,,,,,,,,
103973408,EN51/11/13,1,3,0,0,0,,5,155,,
103975102,EN51/11/13,4,3,0,0,0,,5,155,,
103973111,EN51/11/13,1,8,0,0,0,,5,155,,
103975201,EN51/11/13,3,9,0,0,0,,5,155,,
,,,,,,,,,,,
103969404,EN51/11/14,3,5,0,0,0,,5,155,,
103969602,EN51/11/14,3,11,0,0,0,,5,155,,
106751909,EN51/11/14,3,7,0,0,0,,5,155,,
103969503,EN51/11/14,2,9,0,0,0,,5,155,,
,,,,,,,,,,,
103966907,EN51/11/15,1,2,0,0,0,,5,155,,
,,,,,,,,,,,
103967710,EN51/11/16,2,0,0,0,0,,5,155,,
106690804,EN51/11/16,3,3,0,0,0,,5,155,,
,,,,,,,,,,,
103967611,EN51/11/16/1,3,7,0,0,0,,5,155,,
103967006,EN51/11/16/1,3,8,0,0,0,,5,155,,
103966808,EN51/11/16/1,3,9,0,0,0,,5,155,,
,,,,,,,,,,,
103967402,EN51/11/16/2,1,2,0,0,0,,5,155,,
103968403,EN51/11/16/2,3,3,0,0,0,,5,155,,
103967303,EN51/11/16/2,3,4,0,0,0,,5,155,,
103967501,EN51/11/16/2,1,7,0,0,0,,5,155,,
,,,,,,,,,,,
103968007,EN51/11/16/3,1,9,0,0,0,,5,155,,
103967105,EN51/11/16/3,1,4,0,0,0,,5,155,,
106066708,EN51/11/16/3,2,8,0,0,0,,5,155,,
103968106,EN51/11/16/3,1,1,0,0,0,,5,155,,
103967204,EN51/11/16/3,3,8,0,0,0,,5,155,,
103968909,EN51/11/16/3,2,5,0,0,0,,5,155,,
103967908,EN51/11/16/3,1,7,0,0,0,,5,155,,
103968810,EN51/11/16/3,2,7,0,0,0,,5,155,,
106277402,EN51/11/16/3,3,7,0,0,0,,5,155,,
103969008,EN51/11/16/3,3,5,0,0,0,,5,155,,
103967809,EN51/11/16/3,1,4,0,0,0,,5,155,,
,,,,,,,,,,,
103968502,EN51/11/16/5,1,7,0,0,0,,5,155,,
103969107,EN51/11/16/5,1,1,0,0,0,,5,155,,
,,,,,,,,,,,
103968601,EN51/11/16/6,2,6,0,0,0,,5,155,,
103968205,EN51/11/16/6,3,3,0,0,0,,5,155,,
103968711,EN51/11/16/6,2,2,0,0,0,,5,155,,
103968304,EN51/11/16/6,3,10,0,0,0,,5,155,,
,,,,,,,,,,,
103964003,EN51/11/17,2,8,0,0,0,,5,155,,
103966104,EN51/11/17,1,8,0,0,0,,5,155,,
103966005,EN51/11/17,2,9,0,0,0,,5,155,,
,,,,,,,,,,,
103443109,EN51/12,2,11,0,0,0,,5,155,,
103443010,EN51/12,3,20,0,0,0,,5,155,,
,,,,,,,,,,,
103450303,EN51/12A,1,32,5,18.41,13.92,,3,155,357.333,
103445001,EN51/12A,2,8,0,0,0,,5,155,,
103450402,EN51/12A,2,10,0,0,0,,5,155,,
103443307,EN51/12A,3,9,0,0,0,,5,155,,
103443208,EN51/12A,4,118,0,0,0,,5,155,,
103445903,EN51/12A,4,0,0,0,0,,5,155,,
,,,,,,,,,,,
103444902,EN51/12AA,1,12,0,0,0,,5,155,,
103443406,EN51/12AA,1,10,0,0,0,,5,155,,
103443604,EN51/12AA,1,10,0,0,0,,5,155,,
,,,,,,,,,,,
103444011,EN51/12AD,1,14,0,0,0,,5,155,,
106464611,EN51/12AD,4,8,0,0,0,,5,155,,
106245007,EN51/12AD,2,14,0,0,0,,5,155,,
103443703,EN51/12AD,1,0,0,0,0,,5,155,,
103443505,EN51/12AD,2,13,0,0,0,,5,155,,
103443802,EN51/12AD,1,7,0,0,0,,5,155,,
103443901,EN51/12AD,2,9,0,0,0,,5,155,,
,,,,,,,,,,,
103445111,EN51/12B,2,13,0,0,0,,5,155,,
103446310,EN51/12B,4,7,0,0,0,,5,155,,
103445309,EN51/12B,2,7,0,0,0,,5,155,,
103445210,EN51/12B,3,9,0,0,0,,5,155,,
,,,,,,,,,,,
103446805,EN51/12B1,3,9,0,0,0,,5,155,,
103446607,EN51/12B1,3,9,0,0,0,,5,155,,
103446508,EN51/12B1,2,15,0,0,0,,5,155,,
103446706,EN51/12B1,1,11,0,0,0,,5,155,,
103446409,EN51/12B1,4,21,0,0,0,,5,155,,
,,,,,,,,,,,
103447410,EN51/12B2,4,0,0,0,0,,5,155,,
103446904,EN51/12B2,3,11,0,0,0,,5,155,,
103447201,EN51/12B2,2,11,0,0,0,,5,155,,
103447003,EN51/12B2,2,0,0,0,0,,5,155,,
103447311,EN51/12B2,1,4,0,0,0,,5,155,,
103447102,EN51/12B2,4,51,6,23.73,27.55,,3,155,140.533,
,,,,,,,,,,,
103448202,EN51/12B3,4,34,4,19.63,14.42,,2,155,162.533,
103448004,EN51/12B3,3,8,0,0,0,,5,155,,
103447707,EN51/12B3,4,28,0,0,0,,5,155,,
103447509,EN51/12B3,2,6,0,0,0,,5,155,,
103447608,EN51/12B3,4,32,3,24.55,7.88,,1,155,267.083,
,,,,,,,,,,,
103448103,EN51/12B4,4,20,0,0,0,,5,155,,
,,,,,,,,,,,
103448411,EN51/12B5,3,10,0,0,0,,5,155,,
103448609,EN51/12B5,4,14,0,0,0,,5,155,,
103447905,EN51/12B5,1,5,0,0,0,,5,155,,
103448807,EN51/12B5,4,46,5,31.75,14.07,,2,155,303.067,
103447806,EN51/12B5,2,7,0,0,0,,5,155,,
,,,,,,,,,,,
103449104,EN51/12B5/2,3,6,0,0,0,,5,155,,
103449005,EN51/12B5/2,1,7,0,0,0,,5,155,,
,,,,,,,,,,,
103448510,EN51/12B5/3,1,7,0,0,0,,5,155,,
103449203,EN51/12B5/3,4,3,0,0,0,,5,155,,
103449302,EN51/12B5/3,4,16,0,0,0,,5,155,,
,,,,,,,,,,,
103449511,EN51/12B5/4,3,7,0,0,0,,5,155,,
103449610,EN51/12B5/4,4,13,0,0,0,,5,155,,
103449401,EN51/12B5/4,4,6,0,0,0,,5,155,,
,,,,,,,,,,,
103449709,EN51/12B5/5,3,5,0,0,0,,5,155,,
,,,,,,,,,,,
106612209,EN51/12B5/6,4,15,0,0,0,,5,155,,
103449907,EN51/12B5/6,4,7,0,0,0,,5,155,,
103450006,EN51/12B5/6,1,10,0,0,0,,5,155,,
103450105,EN51/12B5/6,2,7,0,0,0,,5,155,,
,,,,,,,,,,,
103449808,EN51/12B5/7,1,12,0,0,0,,5,155,,
103450204,EN51/12B5/7,4,36,0,0,0,,5,155,,
,,,,,,,,,,,
103448906,EN51/12B6,4,8,0,0,0,,5,155,,
103448301,EN51/12B6,2,5,0,0,0,,5,155,,
106718403,EN51/12B6,1,5,0,0,0,,5,155,,
,,,,,,,,,,,
103445507,EN51/12C,4,13,0,0,0,,5,155,,
103444308,EN51/12C,4,14,0,0,0,,5,155,,
103445705,EN51/12C,4,43,4,25.76,16.81,,1,155,115.667,
,,,,,,,,,,,
103445408,EN51/12CA,1,8,0,0,0,,5,155,,
106866111,EN51/12CA,1,10,0,0,0,,5,155,,
,,,,,,,,,,,
103444209,EN51/12CB,3,14,0,0,0,,5,155,,
106815203,EN51/12CB,2,4,0,0,0,,5,155,,
103444110,EN51/12CB,2,10,0,0,0,,5,155,,
,,,,,,,,,,,
103444803,EN51/12CC,1,13,0,0,0,,5,155,,
103444506,EN51/12CC,3,17,0,0,0,,5,155,,
103444605,EN51/12CC,4,39,4,18.55,20.43,,1,155,7,
,,,,,,,,,,,
103444407,EN51/12CD,3,24,0,0,0,,5,155,,
103444704,EN51/12CD,1,14,0,0,0,,5,155,,
,,,,,,,,,,,
103445804,EN51/12D,4,37,0,0,0,,5,155,,
,,,,,,,,,,,
103446002,EN51/12E,4,5,0,0,0,,5,155,,
103446211,EN51/12E,3,10,0,0,0,,5,155,,
105633704,EN51/12E,3,39,6,19.1,19.87,,3,155,273.217,
103446101,EN51/12E,1,6,0,0,0,,5,155,,
106737202,EN51/12E,3,3,0,0,0,,5,155,,
,,,,,,,,,,,
103442405,EN51/13,4,7,0,0,0,,5,155,,
103442801,EN51/13,1,30,0,0,0,,5,155,,
,,,,,,,,,,,
103450501,EN51/14,3,4,0,0,0,,5,155,,
,,,,,,,,,,,
106991203,EN51/15,4,4,0,0,0,,5,155,,
103450611,EN51/15,4,37,4,18.37,18.18,,1,155,74.3333,
105889707,EN51/15,1,80,0,0,0,,5,155,,
103442306,EN51/15,3,9,0,0,0,,5,155,,
103976708,EN51/15,2,7,0,0,0,,5,155,,
103976510,EN51/15,3,0,0,0,0,,5,155,,
106918801,EN51/15,1,2,0,0,0,,5,155,,
,,,,,,,,,,,
106540302,EN51/16,4,22,4,5.42,16.65,,1,155,42.8333,
103451502,EN51/16,2,9,0,0,0,,5,155,,
103450710,EN51/16,2,9,0,0,0,,5,155,,
103450809,EN51/16,4,46,4,24.22,22.03,,1,155,5.5,
103451106,EN51/16,2,18,2,12.21,6.16,,2,155,86.25,
,,,,,,,,,,,
103451007,EN51/16A,4,9,0,0,0,,5,155,,
,,,,,,,,,,,
103450908,EN51/16B,4,11,0,0,0,,5,155,,
,,,,,,,,,,,
103451205,EN51/17,1,13,0,0,0,,5,155,,
103451403,EN51/17,3,3,0,0,0,,5,155,,
,,,,,,,,,,,
103976906,EN51/18,1,4,0,0,0,,5,155,,
,,,,,,,,,,,
103451711,EN51/19,2,4,0,0,0,,5,155,,
103451601,EN51/19,1,5,0,0,0,,5,155,,
103452008,EN51/19,4,18,0,0,0,,5,155,,
103451810,EN51/19,3,2,0,0,0,,5,155,,
,,,,,,,,,,,
103451909,EN51/20,2,12,0,0,0,,5,155,,
103452206,EN51/20,2,10,1,8.36,1.58,,2,155,107.333,
103452107,EN51/20,4,6,0,0,0,,5,155,,
,,,,,,,,,,,
103452701,EN51/21,4,5,0,0,0,,5,155,,
105925402,EN51/21,3,4,0,0,0,,5,155,,
103452305,EN51/21,1,11,0,0,0,,5,155,,
103452404,EN51/21,3,15,2,7.77,6.78,,2,155,106.333,
,,,,,,,,,,,
103452602,EN51/22,2,0,0,0,0,,5,155,,
103452811,EN51/22,4,32,3,17.5,14.6,,1,155,50.25,
,,,,,,,,,,,
103452503,EN51/22-1,1,0,0,0,0,,5,155,,
,,,,,,,,,,,
103452910,EN51/23,1,10,0,0,0,,5,155,,
106381209,EN51/23,1,3,0,0,0,,5,155,,
106340410,EN51/23,3,5,0,0,0,,5,155,,
106676009,EN51/23,1,1,0,0,0,,5,155,,
107026810,EN51/23,1,0,0,0,0,,5,155,,
,,,,,,,,,,,
103453207,EN51/24,2,8,0,0,0,,5,155,,
103453306,EN51/24,1,5,0,0,0,,5,155,,
,,,,,,,,,,,
103453405,EN51/25,4,10,0,0,0,,5,155,,
103453504,EN51/25,4,13,0,0,0,,5,155,,
103453009,EN51/25,4,11,0,0,0,,5,155,,
103453603,EN51/25,4,14,0,0,0,,5,155,,
103453702,EN51/25,4,8,0,0,0,,5,155,,
103453108,EN51/25,4,8,0,0,0,,5,155,,
,,,,,,,,,,,
103453801,EN51/26,2,10,0,0,0,,5,155,,
103454109,EN51/26,2,4,0,0,0,,5,155,,
103454307,EN51/26,2,5,0,0,0,,5,155,,
103453911,EN51/26,4,55,6,32.24,22.62,,2,155,263.733,
103454208,EN51/26,1,6,0,0,0,,5,155,,
103454010,EN51/26,2,6,0,0,0,,5,155,,
,,,,,,,,,,,
105617303,EN51/27,1,6,0,0,0,,5,155,,
,,,,,,,,,,,
103454604,EN51/28,4,29,3,14.72,14.75,,2,155,22.3333,
103454406,EN51/28,3,33,0,0,0,,5,155,,
103454505,EN51/28,1,7,0,0,0,,5,155,,
,,,,,,,,,,,
103454802,EN51/29,2,7,0,0,0,,5,155,,
103454901,EN51/29,3,0,0,0,0,,5,155,,
103455011,EN51/29,3,7,0,0,0,,5,155,,
,,,,,,,,,,,
103455902,EN51/30,1,9,0,0,0,,5,155,,
,,,,,,,,,,,
103455308,EN51/30/1,4,6,0,0,0,,5,155,,
103455704,EN51/30/1,2,0,0,0,0,,5,155,,
,,,,,,,,,,,
103455605,EN51/30/2,4,21,0,0,0,,5,155,,
103455506,EN51/30/2,4,10,0,0,0,,5,155,,
106437408,EN51/30/2,4,11,0,0,0,,5,155,,
103455407,EN51/30/2,4,17,0,0,0,,5,155,,
,,,,,,,,,,,
103455110,EN51/30B,4,30,0,0,0,,5,155,,
,,,,,,,,,,,
105462808,EN51/30C,4,10,0,0,0,,5,155,,
103456001,EN51/30C,4,63,7,38.96,24.31,,1,155,394.417,
106156710,EN51/30C,3,5,0,0,0,,5,155,,
105463204,EN51/30C,4,52,7,39.78,12.43,,1,155,634.5,
103455209,EN51/30C,3,7,0,0,0,,5,155,,
,,,,,,,,,,,
103455803,EN51/31,1,5,0,0,0,,5,155,,
,,,,,,,,,,,
103456111,EN51/32,1,8,0,0,0,,5,155,,
103456210,EN51/32,1,13,0,0,0,,5,155,,
,,,,,,,,,,,
103454703,EN51/33,3,10,0,0,0,,5,155,,
103456408,EN51/33,2,13,0,0,0,,5,155,,
103456507,EN51/33,4,84,15,46.31,37.47,,4,155,1200.67,
103456309,EN51/33,2,11,0,0,0,,5,155,,
,,,,,,,,,,,
103458201,EN51/34,4,22,0,0,0,,5,155,,
103458003,EN51/34,4,0,0,0,0,,5,155,,
103456606,EN51/34,4,1,0,0,0,,5,155,,
103456705,EN51/34,2,16,0,0,0,,5,155,,
103457706,EN51/34,3,3,0,0,0,,5,155,,
103458102,EN51/34,4,14,0,0,0,,5,155,,
103457805,EN51/34,4,29,0,0,0,,5,155,,
103457607,EN51/34,2,9,0,0,0,,5,155,,
105599505,EN51/34,4,9,0,0,0,,5,155,,
103457904,EN51/34,3,2,0,0,0,,5,155,,
,,,,,,,,,,,
103457002,EN51/35,4,19,0,0,0,,5,155,,
103456804,EN51/35,2,5,0,0,0,,5,155,,
103456903,EN51/35,4,24,0,0,0,,5,155,,
,,,,,,,,,,,
103458806,EN51/36,1,14,0,0,0,,5,155,,
103458509,EN51/36,1,12,0,0,0,,5,155,,
103458608,EN51/36,1,7,0,0,0,,5,155,,
103457211,EN51/36,3,11,0,0,0,,5,155,,
103457310,EN51/36,3,3,0,0,0,,5,155,,
105479209,EN51/36,3,7,0,0,0,,5,155,,
103458905,EN51/36,2,6,0,0,0,,5,155,,
103457508,EN51/36,4,13,0,0,0,,5,155,,
103457409,EN51/36,2,8,0,0,0,,5,155,,
103457101,EN51/36,3,3,0,0,0,,5,155,,
105869005,EN51/36,1,10,0,0,0,,5,155,,
,,,,,,,,,,,
103458410,EN51/37,3,8,0,0,0,,5,155,,
106761303,EN51/37,2,9,0,0,0,,5,155,,
103458707,EN51/37,4,4,0,0,0,,5,155,,
103458311,EN51/37,3,5,0,0,0,,5,155,,
